sample_id	read_count	target_UMEND_count	parent_id	bin_median	binwidth
TH_Eval_018_est1M_UMEND_seqtk_seed_5315	897386.4	1	TH_Eval_018	0	4
TH_Eval_015_est1M_UMEND_seqtk_seed_7173	966290.05	1	TH_Eval_015	0	4
TH_Eval_019_est1M_UMEND_seqtk_seed_8803	968801.745	1	TH_Eval_019	0	4
TH_Eval_014_est1M_UMEND_seqtk_seed_2771	969044.31	1	TH_Eval_014	0	4
TH_Eval_016_est1M_UMEND_seqtk_seed_7649	964752.75	1	TH_Eval_016	0	4
TH_Eval_018_est4M_UMEND_seqtk_seed_4596	4038616.96	4	TH_Eval_018	4	4
TH_Eval_015_est4M_UMEND_seqtk_seed_2711	4006874.005	4	TH_Eval_015	4	4
TH_Eval_019_est4M_UMEND_seqtk_seed_7362	3989494.615	4	TH_Eval_019	4	4
TH_Eval_014_est4M_UMEND_seqtk_seed_5411	4022359.965	4	TH_Eval_014	4	4
TH_Eval_016_est4M_UMEND_seqtk_seed_8539	3850360.41	4	TH_Eval_016	4	4
TH_Eval_018_est8M_UMEND_seqtk_seed_2594	8047283.115	8	TH_Eval_018	8	4
TH_Eval_015_est8M_UMEND_seqtk_seed_1490	8017311.505	8	TH_Eval_015	8	4
TH_Eval_019_est8M_UMEND_seqtk_seed_4808	8032662	8	TH_Eval_019	8	4
TH_Eval_014_est8M_UMEND_seqtk_seed_2622	7973217.99	8	TH_Eval_014	8	4
TH_Eval_016_est8M_UMEND_seqtk_seed_7537	7754740.725	8	TH_Eval_016	8	4
TH_Eval_018_est12M_UMEND_seqtk_seed_3263	12007425.805	12	TH_Eval_018	12	4
TH_Eval_015_est12M_UMEND_seqtk_seed_3931	12047860.87	12	TH_Eval_015	12	4
TH_Eval_019_est12M_UMEND_seqtk_seed_3737	12000172.32	12	TH_Eval_019	12	4
TH_Eval_014_est12M_UMEND_seqtk_seed_9311	11889324.99	12	TH_Eval_014	12	4
TH_Eval_016_est12M_UMEND_seqtk_seed_5537	11590923.45	12	TH_Eval_016	12	4
TH_Eval_018_est16M_UMEND_seqtk_seed_2214	15987080.665	16	TH_Eval_018	16	4
TH_Eval_015_est16M_UMEND_seqtk_seed_3498	15906303	16	TH_Eval_015	16	4
TH_Eval_019_est16M_UMEND_seqtk_seed_7924	15988293	16	TH_Eval_019	16	4
TH_Eval_014_est16M_UMEND_seqtk_seed_6933	15997868.72	16	TH_Eval_014	16	4
TH_Eval_016_est16M_UMEND_seqtk_seed_0662	15450346	16	TH_Eval_016	16	4
TH_Eval_018_est20M_UMEND_seqtk_seed_7447	19977471.635	20	TH_Eval_018	20	4
TH_Eval_015_est20M_UMEND_seqtk_seed_3732	19958188.32	20	TH_Eval_015	20	4
TH_Eval_019_est20M_UMEND_seqtk_seed_7125	19990852.56	20	TH_Eval_019	20	4
TH_Eval_014_est20M_UMEND_seqtk_seed_2226	19974189.76	20	TH_Eval_014	20	4
TH_Eval_016_est20M_UMEND_seqtk_seed_7248	19318564.015	20	TH_Eval_016	20	4
TH_Eval_018_est24M_UMEND_seqtk_seed_0734	23900691.655	24	TH_Eval_018	24	4
TH_Eval_015_est24M_UMEND_seqtk_seed_4424	23993612.64	24	TH_Eval_015	24	4
TH_Eval_019_est24M_UMEND_seqtk_seed_1819	23990511.24	24	TH_Eval_019	24	4
TH_Eval_014_est24M_UMEND_seqtk_seed_1120	23974325.24	24	TH_Eval_014	24	4
TH_Eval_016_est24M_UMEND_seqtk_seed_6740	23185251.405	24	TH_Eval_016	24	4
TH_Eval_018_est28M_UMEND_seqtk_seed_8899	28144523.23	28	TH_Eval_018	28	4
TH_Eval_015_est28M_UMEND_seqtk_seed_5510	28009172.16	28	TH_Eval_015	28	4
TH_Eval_019_est28M_UMEND_seqtk_seed_2542	27989639.64	28	TH_Eval_019	28	4
TH_Eval_014_est28M_UMEND_seqtk_seed_6451	27976524.66	28	TH_Eval_014	28	4
TH_Eval_016_est28M_UMEND_seqtk_seed_4433	27096721.13	28	TH_Eval_016	28	4
TH_Eval_018_est32M_UMEND_seqtk_seed_3452	32056015.6	32	TH_Eval_018	32	4
TH_Eval_015_est32M_UMEND_seqtk_seed_4233	31994860.68	32	TH_Eval_015	32	4
TH_Eval_019_est32M_UMEND_seqtk_seed_1872	31990588.2	32	TH_Eval_019	32	4
TH_Eval_014_est32M_UMEND_seqtk_seed_3920	31972725.78	32	TH_Eval_014	32	4
TH_Eval_016_est32M_UMEND_seqtk_seed_8154	30952174.325	32	TH_Eval_016	32	4
TH_Eval_018_est36M_UMEND_seqtk_seed_8038	35998955.75	36	TH_Eval_018	36	4
TH_Eval_015_est36M_UMEND_seqtk_seed_1259	35999476.92	36	TH_Eval_015	36	4
TH_Eval_019_est36M_UMEND_seqtk_seed_2104	35987718.24	36	TH_Eval_019	36	4
TH_Eval_014_est36M_UMEND_seqtk_seed_7519	35967986.36	36	TH_Eval_014	36	4
TH_Eval_016_est36M_UMEND_seqtk_seed_4791	34734143.3	36	TH_Eval_016	36	4
TH_Eval_018_est40M_UMEND_seqtk_seed_3320	39959708.44	40	TH_Eval_018	40	4
TH_Eval_015_est40M_UMEND_seqtk_seed_8596	40000910.04	40	TH_Eval_015	40	4
TH_Eval_019_est40M_UMEND_seqtk_seed_0753	39984104.52	40	TH_Eval_019	40	4
TH_Eval_014_est40M_UMEND_seqtk_seed_4956	39962799.63	40	TH_Eval_014	40	4
TH_Eval_016_est40M_UMEND_seqtk_seed_2115	38477743.555	40	TH_Eval_016	40	4
TH_Eval_018_est44M_UMEND_seqtk_seed_3778	43943899.52	44	TH_Eval_018	44	4
TH_Eval_015_est44M_UMEND_seqtk_seed_6556	43994414.88	44	TH_Eval_015	44	4
TH_Eval_019_est44M_UMEND_seqtk_seed_6788	43982804.16	44	TH_Eval_019	44	4
TH_Eval_014_est44M_UMEND_seqtk_seed_7750	43964723.12	44	TH_Eval_014	44	4
TH_Eval_016_est44M_UMEND_seqtk_seed_0849	42709556	44	TH_Eval_016	44	4
TH_Eval_018_est48M_UMEND_seqtk_seed_4374	47948681.84	48	TH_Eval_018	48	4
TH_Eval_015_est48M_UMEND_seqtk_seed_7023	47989150.56	48	TH_Eval_015	48	4
TH_Eval_019_est48M_UMEND_seqtk_seed_8931	47987492.4	48	TH_Eval_019	48	4
TH_Eval_014_est48M_UMEND_seqtk_seed_9314	47973977	48	TH_Eval_014	48	4
TH_Eval_016_est50M_UMEND_seqtk_seed_3541	48260261.2	50	TH_Eval_016	48	4
